box-img href,box-img src,name,level,detail,date,description,refcount
https://www.books.com.tw/booksComment/memberComment/N5LcCtItLQ,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,大師兄,Lv.1,5,2026/03/28,我覺得本書是提升人際關係的寶典，也是突破我工作業務關卡的重要關鍵，推薦給全天下所有人都要看的一本書。,0
https://www.books.com.tw/booksComment/memberComment/IKEwiJt08K,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Fang,Lv.6,5,2026/03/14,阿德勒心理學是以目的論(現在)，而非決定論(過去)的角度去探討人生課題，不是一昧追究過去怎麼了，而是透過理解當下行為的目的，並決定未來該怎麼辦。想得到自由與幸福，就得做到自立(課題分離:不要在意別人的眼光及評價)及擁有社會意識(接納自我、信任他人、貢獻他人)，人之所以無法前進，往往只是缺乏改變現有生活型態的勇氣而已。-----本書深入淺出的介紹阿德勒的思想，適合讀者理解、消化，靜下心來與自己對話，思考及調整自己的人生。,1
https://www.books.com.tw/booksComment/memberComment/iDccNbfcyb,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,橘子,Lv.2,5,2026/03/02,這本書教導我們不必為了討好他人而活，應專注於自己能控制的當下，別在乎別人的眼光，即使你做到自認的完美，還是會有人認為你不夠好，人際煩惱根源在於「渴求認同」，真正的自由是接納平凡、擁有被討厭的勇氣，從而主動選擇幸福。,1
https://www.books.com.tw/booksComment/memberComment/n4rnbQu0ZN,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,vivi,Lv.2,5,2026/01/08,《被討厭的勇氣》以阿德勒心理學為核心，提出「課題分離」與「選擇自己的人生」的觀點，顛覆我對人際關係的想像。書中指出，很多痛苦來自過度在意他人眼光，試圖滿足所有人，反而失去自我。真正的自由，是即使被討厭，也願意為自己的價值負責。閱讀後，我開始反思自己在人際互動中的討好行為，學著區分哪些是自己的課題、哪些不必承擔。這本書讓我明白，被討厭並不等於被否定，而是選擇忠於自己的必然結果，也是一種走向成熟與自信的勇氣。,1
https://www.books.com.tw/booksComment/memberComment/xxx3460072,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,仔仔,Lv.4,5,2026/01/06,十多年前大紅大紫的暢銷書，十多年後我也入手了當年這本書暢銷的盛況我依然記憶深刻，當時只有借來翻閱過然而經過了歲月洗禮後，十多年了我又想起這本書，並且收藏了它！這是一本能夠歷經時間考驗的好書,0
https://www.books.com.tw/booksComment/memberComment/BoexrpFu2q,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/booksCommentAvatar/avatars_160x160_b1.png&v=6614ae56k&w=80&h=80,栗子菇,Lv.4,4.5,2025/11/21,第一次對這本書的印象，是在我新買的書裡面的夾頁，一張介紹暢銷書與新書的DM。那時候我透過這張DM簡單的了解一下這本書的微介紹。當時我看到，阿德勒提出「所有的煩惱都是人際關係的煩惱」以及「目的論」。阿德勒否認所謂過去決定未來的看法，他認為創傷並不存在，你現在是什麼樣子，跟過去發生什麼沒有關係。阿德勒心理學就如同本書作者岸見一郎所言，大部分的人覺得阿德勒的思想雖然用字遣詞並不艱深，但他的觀點幾乎是與一般人所想的不一樣。這就好像從「知道」到「做到」之間橫跨著很多座山，要應用在現實生活非常的需要練習。這本書使用對話的形式，由哲學家與年輕人展開各自觀點的討論過程，少了小說中會有的描述場景、敘述心境等等的文字篇幅，透過年輕人與哲學家一來一往的對談，緊湊的內容，會讓人不自覺就一直想往下看。有時覺得自己就像年輕人那樣會有質疑與不解，有時又能理解哲學家的說法。書中年輕人的人設，是個缺乏自信，有著自卑感，認為自己不夠好，覺得人活著就是要獲得別人的認同才有價值，這樣的角色設定像是濃縮了現在的人或多或少都曾有過的想法，哲學家則運用了阿德勒的觀點，透過與年輕人的對話，引導年輕人找出目前生活困境的答案，彷彿也在帶領讀者找到自己人生裡的解答。—「好像你正透過太陽眼鏡在看這個世界，當然會覺得看到的一切都很昏暗。既然如此，你可以不用感嘆這個世界有多黑暗，只要摘下太陽眼鏡就行了。」,2
https://www.books.com.tw/booksComment/memberComment/xxx5449236,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,愛紙本書人,Lv.7,3,2025/10/31,簡單認為人性是不完美→不滿足→不接受→自卑；卻沒看到人類的真正發展進程是不夠完美→接受事實→努力改變→成功自信,2
https://www.books.com.tw/booksComment/memberComment/xxx5449236,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,愛紙本書人,Lv.7,3,2025/10/31,簡單認為人性是不完美→不滿足→不接受→自卑；卻沒看到人類的真正發展進程是不夠完美→接受事實→努力改變→成功自信,1
https://www.books.com.tw/booksComment/memberComment/WZq5Ah84Es,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Annjoy,Lv.6,4.5,2025/10/25,這本書看似勵志，實則一記當頭棒喝。以對談形式講阿德勒心理學，讓人重新思考「幸福」與「他人眼光」的關係。讀的過程中會不斷被戳痛——原來我們害怕被討厭，其實是害怕失去控制。它不教你變強，而是教你放下：不迎合、不討好，選擇自己的生活。書關上後，你可能還做不到完全自由，但會開始學著不再為別人的期待活。,0
https://www.books.com.tw/booksComment/memberComment/awbWOS2IcJ,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,小書僮,Lv.2,5,2025/09/28,阿德勒心理學猶如灌頂心法貫通任督二脈在人際關係的領域裡是必修的課程還未習得真髓前他人即地獄建議各位不要猶豫阿德勒心理學將引領你擺脫束縛枷鎖,0
https://www.books.com.tw/booksComment/memberComment/xxx3454814,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,cys,Lv.5,5,2025/09/20,"第一次閱讀有關""阿德勒心理學""的書籍,深深被這本書的內容吸引!全書採用對話的方式完成,深入淺出,解釋清晰易懂.書本裡對於常看見的概念都有很生動的說明和例子,像是: 課題分離,存在即價值,實現式人生,真正的自由...推薦給想要擁有更幸福人生的朋友!",0
https://www.books.com.tw/booksComment/memberComment/xxx3449150,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,樂樂,Lv.3,5,2025/08/03,好久之前讀的書，書裡談到的課題分離對我來說還是非常受用。身為一個高敏感人，很容易覺察到他人的情緒，以前常發現別人有情緒時常會下意識的質問自己是否說錯話使對方感到不開心，而一直陷入糾結和自責之中。課題分離之後，他人的情緒歸他人的情緒，再也不要再把它攬到自己身上。,6
https://www.books.com.tw/booksComment/memberComment/AaOTethExg,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,kate_reading_note,Lv.2,5,2025/07/25,這不是一本教你如何當個「更受歡迎的人」的書。相反地，它甚至可能讓你變得沒那麼討喜——但更真實。這本書以一來一往的對話形式展開，猶如2500年前蘇格拉底式對話，從提問與思考之中得出自己的智慧，透由哲學家與年輕人的討論，沒有艱澀的理論，有的是一連串貼近生活的叩問：你為什麼總是在意別人的眼光？為什麼總是活得綁手綁腳？你真的有勇氣，為自己而活嗎？我喜歡它把「自由」和「責任」這件事講得這麼直白卻真誠。什麼是課題分離？簡單說，就是把「別人的人生交還給別人」，你只需要為自己的人生負責。說起來容易，做起來很難，但一旦練習久了，真的會輕盈很多。書裡沒有大聲鼓吹「你就是最棒的」，也不會告訴你怎麼當個更圓融、更好相處的人。它的意思比較像是：「你可以選擇忠於你自己，即使因此不被所有人喜歡。」這樣的訊息，在這個強調人際和諧與成就的社會裡，其實非常難得。也可能讓人不太舒服。但正因如此，它相當值得一讀——甚至重讀。推薦這本書，給正在懷疑自己、也許總想討好所有人、又不甘心這樣過一輩子的你。不是為了改變什麼，而是為了開始更清楚地看見：你，其實一直都有選擇的勇氣。,5
https://www.books.com.tw/booksComment/memberComment/FSRRMTaz8X,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Halsey,Lv.1,5,2025/05/27,剛收到媽媽從台灣寄到加拿大來給我，讀差不多一半，感到『我怎麼會到這個時候才讀它！』讀的同時，腦海裡浮現許多人的面孔，讓我了解到『對！他們就是這樣的人』及往後我該用什麼樣的態度，說話方式與他們相處。非常值得推薦！,3
